9.46,2.76
9.46,2.68
9.46,2.72
9.51,2.74
9.51,2.79
9.44,2.77
9.38,2.86
9.37,2.82
9.40,2.86
9.43,2.90
9.37,2.97
9.33,3.06
9.36,3.04
9.37,3.07
9.27,3.07
9.27,3.11
9.26,3.11
9.35,3.07
9.35,3.07
9.34,2.99
9.31,2.93
9.32,2.95
9.36,2.87
9.43,2.87
9.40,2.84
9.34,2.85
9.33,2.86
9.35,2.78
9.35,2.81
9.41,2.79
9.49,2.87
9.46,2.88
9.49,2.95
9.54,2.93
9.51,2.88
9.44,2.89
9.44,2.96
9.36,2.90
9.38,2.88
9.41,2.87
9.43,2.87
9.44,2.94
9.40,2.94
9.43,2.95
9.45,2.96
9.46,3.03
9.47,3.03
9.46,3.08
9.51,3.14
9.41,3.20
9.38,3.30
9.40,3.35
9.44,3.35
9.44,3.33
9.43,3.24
9.39,3.33
9.33,3.36
9.41,3.45
9.45,3.49
9.41,3.66
9.37,3.86
9.38,3.94
9.40,4.09
9.37,4.13
9.44,4.18
9.29,4.44
9.19,4.52
9.34,4.80
9.33,4.91
9.24,5.00
9.18,5.33
9.16,5.54
9.16,5.84
9.16,6.05
9.14,6.11
9.15,6.40
9.08,6.45
9.04,6.52
9.11,6.67
9.09,6.65
9.11,7.04
9.03,7.02
9.02,7.28
9.01,7.70
9.06,7.96
9.00,8.62
8.93,8.99
8.82,9.60
8.85,9.98
8.90,10.24
8.73,10.76
8.66,11.07
8.57,11.70
8.65,12.23
8.53,12.44
8.49,12.95
8.23,13.01
7.86,13.26
7.61,13.59
7.37,13.71
7.32,14.39
7.11,14.71
7.07,15.25
7.06,15.66
6.95,15.63
6.99,16.14
7.20,16.45
7.92,16.95
8.69,17.55
9.35,17.90
10.00,18.70
11.09,19.11
12.53,19.39
13.85,19.94
14.90,20.17
15.67,21.02
16.68,21.64
18.33,22.72
19.91,24.06
21.17,25.05
22.30,26.93
23.71,28.73
26.60,30.82
29.75,33.17
32.29,34.76
34.31,37.46
37.25,38.83
41.91,40.50
46.37,41.99
50.04,42.43
52.75,43.98
55.79,45.26
60.50,46.82
64.63,47.81
67.29,47.50
68.66,48.42
70.04,49.93
72.48,51.73
74.60,53.87
75.20,54.52
74.73,56.44
74.06,58.50
74.56,60.71
117.24,1237.92
160.88,2355.98
179.33,3502.57
194.64,4546.92
207.81,5238.07
211.97,6013.32
215.75,6560.34
221.06,7145.82
223.71,7765.73
228.88,8018.94
232.47,7524.28
233.77,6693.47
227.70,5950.30
220.19,5286.93
213.37,4698.01
206.05,4173.04
197.76,3703.50
188.46,3283.09
179.05,2908.45
170.50,2578.44
161.57,2286.30
151.96,2026.13
141.62,1795.38
131.39,1591.93
122.49,1412.35
113.71,1254.42
104.60,1113.60
95.55,990.46
87.34,882.05
80.51,785.33
74.19,700.57
67.98,625.06
62.71,559.51
58.27,502.04
54.15,449.91
50.69,404.75
47.38,363.90
45.08,328.72
43.08,298.32
40.93,270.18
39.00,244.64
37.33,220.68
36.51,199.39
35.40,179.97
34.29,161.01
34.74,143.57
36.00,127.76
37.63,113.50
39.48,100.84
41.38,89.78
43.43,80.04
45.50,71.33
47.52,63.64
49.35,56.80
51.20,50.84
52.98,45.73
54.56,41.07
55.93,37.04
57.18,33.49
58.22,30.36
59.02,27.69
59.79,25.32
60.25,23.11
60.48,21.24
60.60,19.62
60.57,18.16
60.41,16.85
60.03,15.66
59.47,14.52
58.86,13.61
58.04,12.85
57.20,12.05
56.19,11.46
55.07,10.82
53.95,10.19
52.86,9.85
51.80,9.50
50.57,9.08
49.34,8.63
48.06,8.27
46.90,7.92
45.62,7.73
44.30,7.35
42.92,7.10
41.58,6.88
40.41,6.67
39.13,6.47
37.80,6.30
36.52,6.08
35.30,5.88
34.00,5.81
32.91,5.70
31.87,5.58
30.69,5.46
29.63,5.32
28.69,5.28
27.75,5.16
26.82,5.10
25.87,5.01
25.05,4.91
24.37,4.83
23.68,4.64
22.98,4.54
22.34,4.51
21.74,4.43
21.24,4.50
20.69,4.47
20.17,4.38
19.57,4.26
19.18,4.29
18.80,4.26
18.44,4.21
17.99,4.17
17.63,4.07
17.24,4.05
16.94,4.04
16.74,4.01
16.38,3.96
16.08,3.86
15.83,3.81
15.63,3.76
15.48,3.68
15.23,3.67
15.04,3.60
14.85,3.54
14.60,3.54
14.46,3.61
14.21,3.48
14.04,3.37
13.80,3.32
13.62,3.35
13.51,3.27
13.34,3.18
13.02,3.12
12.81,3.10
12.59,3.11
12.39,3.05
12.24,3.06
12.05,2.99
11.84,3.06
11.70,3.18
11.57,3.20
11.31,3.31
11.10,3.30
10.86,3.28
10.55,3.36
10.47,3.39
10.22,3.35
9.97,3.30
9.70,3.23
9.52,3.26
9.33,3.18
9.14,3.13
8.98,3.16
8.91,3.13
8.91,3.21
8.89,3.21
8.78,3.22
8.68,3.28
8.52,3.19
8.51,3.18
8.49,3.16
8.49,3.20
8.43,3.22
8.37,3.14
8.33,3.16
8.44,3.26
8.43,3.13
8.40,3.16
8.35,3.21
8.33,3.27
8.33,3.26
8.25,3.22
8.21,3.24
8.17,3.26
8.10,3.26
8.07,3.31
8.05,3.30
8.08,3.35
8.14,3.30
8.16,3.32
8.22,3.33
8.18,3.38
8.10,3.36
8.11,3.32
8.16,3.36
8.33,3.35
8.41,3.25
8.50,3.37
8.60,3.24
8.63,3.19
8.72,3.26
8.79,3.16
8.95,3.13
9.00,3.18
9.22,3.20
9.31,3.21
9.39,3.22
9.55,3.21
9.53,3.19
9.61,3.18
9.66,3.24
9.71,3.31
9.76,3.37
9.74,3.45
9.89,3.68
10.14,3.78
10.29,3.92
10.41,4.09
10.55,4.12
10.82,4.21
11.18,4.34
11.49,4.33
11.63,4.44
11.74,4.59
11.98,5.02
12.39,5.30
12.67,5.56
12.78,5.95
12.96,6.17
13.19,6.62
13.49,6.92
13.68,7.21
13.78,7.74
13.85,8.20
13.96,8.79
14.09,9.39
14.21,9.48
14.37,10.19
14.43,11.10
14.31,12.37
14.16,14.02
14.16,15.03
14.55,16.96
15.03,18.91
15.38,21.08
15.78,23.27
16.28,24.53
17.45,26.59
18.48,28.54
19.26,30.54
20.09,32.48
20.54,33.50
21.56,35.10
22.41,36.58
23.75,38.21
25.25,40.09
26.03,40.85
27.08,42.16
27.53,42.97
28.22,43.23
29.03,43.91
29.44,43.92
30.38,45.34
31.05,46.34
32.42,47.15
34.00,48.33
34.65,48.57
35.84,50.46
37.11,53.60
39.55,56.45
42.01,59.80
43.00,61.40
44.39,64.33
45.78,67.31
47.83,69.06
50.13,71.49
50.41,72.39
51.08,74.55
51.46,76.56
52.41,77.28
54.05,79.29
54.64,80.27
56.28,83.03
58.01,86.12
60.32,87.86
63.02,90.89
63.60,91.74
65.15,93.89
66.49,96.59
67.57,97.07
69.03,98.50
69.14,98.50
70.53,100.70
71.99,103.75
73.32,104.66
75.24,106.52
74.91,106.29
75.95,107.69
76.56,109.52
76.69,108.88
77.50,109.47
77.00,108.50
78.32,109.89
79.82,112.38
80.48,112.82
85.05,504.22
137.80,1767.98
172.32,2900.13
192.73,4147.12
209.66,5043.83
217.49,6004.33
217.68,6711.84
219.02,7311.73
219.37,8016.12
224.43,8423.63
225.46,8988.20
224.42,9359.91
224.80,9589.52
221.19,9963.20
222.44,10069.67
220.84,10344.57
218.39,10509.70
218.83,10562.73
215.65,10833.71
216.43,10852.21
214.69,11043.88
212.86,11134.98
213.61,11116.19
210.52,11321.50
209.97,11274.78
207.82,11375.47
203.09,11217.92
199.92,9948.82
193.59,8792.25
192.90,8323.60
220.68,7999.55
217.70,8468.64
218.27,8793.17
214.90,9302.52
213.28,9514.53
211.93,9068.15
202.41,8010.34
191.61,7075.26
181.20,6251.18
171.79,5527.79
162.75,4891.75
153.69,4330.73
144.43,3834.80
135.80,3397.89
128.03,3015.11
120.14,2678.71
112.24,2382.44
104.68,2121.23
97.51,1891.36
90.65,1689.03
83.90,1511.10
77.23,1353.74
70.85,1214.53
64.67,1091.32
58.90,982.66
53.42,886.45
48.32,801.00
43.53,724.64
39.32,656.44
35.31,595.38
31.55,541.01
28.05,492.70
25.01,449.60
22.49,411.14
20.31,376.56
18.61,345.96
17.35,318.38
16.35,293.47
15.56,270.81
14.99,250.58
14.61,232.52
14.46,216.24
14.23,201.56
14.20,188.54
14.13,176.59
14.26,165.60
14.34,155.48
14.44,146.39
14.56,137.75
14.70,130.04
14.82,123.12
14.86,116.78
14.90,111.03
15.06,105.66
15.04,100.61
15.09,96.07
15.13,91.81
15.19,87.82
15.20,84.20
15.11,80.64
15.07,77.34
15.09,74.49
14.99,71.72
14.99,69.10
14.81,66.56
14.74,64.28
14.61,61.88
14.45,59.81
14.28,57.79
14.05,56.03
13.83,54.37
13.68,52.89
13.49,51.20
13.37,49.58
13.24,48.08
13.10,46.78
12.95,45.33
12.81,43.88
12.64,42.74
12.43,41.66
12.32,40.65
12.27,39.74
12.18,38.86
12.02,37.98
11.83,37.06
11.76,36.33
11.61,35.67
11.59,34.90
11.36,34.20
11.33,33.50
11.25,32.98
11.02,32.49
10.90,31.98
10.72,31.44
10.60,30.82
10.43,30.22
10.35,29.56
10.31,28.84
10.12,28.23
9.89,27.67
9.76,27.29
9.59,26.93
9.47,26.44
9.32,25.92
9.16,25.46
9.03,25.12
8.96,24.74
8.96,24.30
8.85,23.82
8.68,23.34
8.56,22.78
8.44,22.43
8.30,22.19
8.13,21.73
8.05,21.29
7.95,20.83
7.85,20.38
7.79,19.89
7.63,19.59
7.60,19.30
7.60,19.07
7.50,18.80
7.38,18.57
7.34,18.40
7.23,18.30
7.11,18.11
7.10,17.94
7.06,17.64
6.94,17.31
6.93,17.08
6.82,16.89
6.79,16.69
6.71,16.44
6.64,16.21
6.53,15.91
6.49,15.77
6.40,15.47
6.22,15.09
6.13,14.71
6.03,14.37
5.99,14.06
5.83,13.94
5.71,13.85
5.50,13.56
5.46,13.29
5.39,12.94
5.44,12.71
5.32,12.37
5.29,12.09
5.22,11.71
5.10,11.60
5.14,11.67
5.16,11.60
5.20,11.60
5.12,11.68
5.22,11.92
5.42,12.04
5.43,12.16
5.46,11.96
5.45,11.84
5.60,11.90
5.68,12.03
5.83,11.99
5.80,11.74
5.86,11.66
5.97,11.98
6.13,12.43
6.37,12.74
6.26,12.95
6.40,13.52
6.22,14.59
5.89,15.79
5.79,16.14
5.76,16.60
5.84,16.99
5.97,17.82
5.97,18.66
5.87,18.78
5.77,18.84
5.86,19.40
6.31,20.61
7.49,22.38
9.01,24.35
11.18,29.10
14.04,34.54
18.49,39.60
23.69,44.95
27.61,47.90
30.97,51.17
33.81,54.13
38.27,56.27
41.96,57.93
43.43,57.49
43.46,58.40
43.66,59.93
45.59,60.16
47.22,60.46
47.22,59.99
47.15,62.18
48.42,67.36
52.18,71.19
55.96,75.12
56.72,77.16
56.75,81.68
56.67,87.24
97.31,1227.93
147.32,2421.58
145.23,2380.23
137.33,2140.43
130.96,1919.30
128.59,1720.41
130.46,1541.37
134.12,1378.30
896.00,1701.59
913.19,2981.05
835.97,2821.91
799.50,2552.75
776.03,2285.28
752.84,2034.27
730.67,1810.10
713.81,1613.57
698.34,1441.15
676.43,1598.44
633.64,2878.91
590.38,4143.23
552.76,4892.29
500.86,5087.68
478.13,5872.97
455.71,6641.13
430.48,7425.94
396.00,6750.00
370.06,6065.31
351.46,5415.13
335.81,4817.29
323.33,4275.70
315.75,3790.62
310.99,3359.76
304.39,2974.88
294.90,2636.61
284.58,2339.40
275.48,2073.98
266.06,1838.95
254.36,1631.93
240.93,1451.77
227.07,1293.77
215.82,1152.91
206.09,1028.65
195.61,921.29
184.15,1200.08
173.80,2581.15
166.18,3619.74
155.96,4753.12
143.88,5584.12
132.64,6383.32
123.49,7243.24
115.85,7794.83
107.60,8451.89
99.91,8874.92
92.70,9319.08
87.35,9851.13
83.28,10101.04
77.94,10489.41
72.56,10657.19
67.71,10875.61
64.71,11239.88
62.32,11344.17
58.90,11607.59
55.40,11659.95
53.08,11781.75
52.28,12047.39
52.08,12060.42
51.29,12244.67
50.43,12223.99
50.26,12264.25
50.53,12337.28
59.85,11025.86
66.28,10185.58
63.58,10306.42
63.70,9567.90
67.71,8469.69
64.80,7482.12
60.26,6609.76
55.25,5839.98
51.09,5156.65
48.47,4555.56
47.18,4033.30
47.15,3579.70
48.85,3186.52
52.16,2847.59
56.82,2553.86
62.20,2300.67
67.17,2080.68
71.41,1888.09
73.91,1719.23
74.82,1571.45
74.06,1441.55
71.58,1325.66
